"x","year","month","yearmon","region","homicide","homicide_us","offences_against_the_person","offences_against_the_person_us","sexual_offences","sexual_offences_us","burglary","burglary_us","robbery","robbery_us","theft_and_handling","theft_and_handling_us","fraud_and_forgery","fraud_and_forgery_us","criminal_damage","criminal_damage_us","drugs_offences","drugs_offences_us","public_order_offences","public_order_offences_us","all_other_offences__excluding_motoring_","all_other_offences__excluding_motoring__us","motoring_offences","motoring_offences_us","admin_finalised_us"
"Cleveland","2017","aug","2017-08-01","North",1,1,118,36,10,1,22,11,7,1,175,5,15,4,30,4,48,4,46,8,7,0,55,10,4
"Cumbria","2017","aug","2017-08-01","North",0,0,102,11,3,0,8,3,5,1,71,5,7,1,19,0,19,0,21,1,4,0,99,6,2
"Derbyshire","2017","aug","2017-08-01","East",0,0,173,35,13,1,17,0,10,0,131,13,18,0,31,2,51,7,62,5,11,1,100,13,11
"Devon and Cornwall","2017","aug","2017-08-01","West",1,0,195,29,8,3,33,2,2,0,111,4,7,1,37,3,56,1,72,8,8,4,178,20,11
"Dorset","2017","aug","2017-08-01","West",1,1,132,22,17,1,8,2,3,3,68,2,5,1,24,4,41,2,53,9,11,1,96,18,7
"Durham","2017","aug","2017-08-01","North",0,0,134,17,7,2,19,1,2,1,139,7,6,0,22,2,14,0,24,0,7,1,103,2,7
"Dyfed Powys","2017","aug","2017-08-01","West",1,0,74,20,7,4,3,1,0,0,46,3,1,0,14,0,39,2,26,1,4,0,66,5,5
"Essex","2017","aug","2017-08-01","East",4,0,283,61,32,15,25,4,7,1,116,9,18,4,42,7,73,5,64,8,19,3,188,77,25
"Gloucestershire","2017","aug","2017-08-01","West",0,0,69,11,4,1,2,1,1,0,47,4,5,2,16,0,18,0,23,3,2,0,54,7,8
"GreaterManchester","2017","aug","2017-08-01","North",2,0,493,104,71,32,51,6,38,7,171,10,26,4,76,12,106,10,168,12,34,5,367,37,33
"Gwent","2017","aug","2017-08-01","West",0,0,103,18,7,3,18,0,2,0,100,7,5,0,20,6,39,1,36,6,11,1,77,12,4
"Hampshire","2017","aug","2017-08-01","South",0,0,276,50,35,10,24,6,7,0,150,20,19,4,50,10,49,3,57,13,14,2,209,14,23
"Hertfordshire","2017","aug","2017-08-01","East",1,0,150,47,10,3,18,3,6,2,152,8,17,4,29,3,54,2,35,6,6,6,114,29,25
"Humberside","2017","aug","2017-08-01","North",1,0,173,41,11,6,19,3,6,1,129,11,8,3,40,3,52,11,48,7,3,1,95,14,32
"Kent","2017","aug","2017-08-01","South",1,1,279,75,21,11,41,0,10,0,139,16,29,2,62,6,77,6,59,14,21,3,160,22,30
"Lancashire","2017","aug","2017-08-01","North",2,1,264,71,8,3,39,3,9,5,195,12,24,7,58,6,68,3,126,16,32,2,257,56,16
"Leicestershire","2017","aug","2017-08-01","East",2,1,205,36,18,9,18,5,10,0,70,6,17,4,31,6,31,3,53,7,9,1,100,18,12
"Lincolnshire","2017","aug","2017-08-01","East",1,1,122,30,9,0,19,2,1,0,91,8,15,1,29,4,43,7,55,9,6,0,133,34,9
"Merseyside","2017","aug","2017-08-01","North",5,1,321,59,37,9,18,3,15,0,176,10,22,0,49,3,177,8,104,11,16,3,266,39,17
"Metropolitan and City","2017","aug","2017-08-01","South",9,4,1455,626,141,73,175,51,73,30,687,157,210,42,198,51,904,98,457,154,192,23,850,238,217
"Norfolk","2017","aug","2017-08-01","East",0,0,175,21,4,1,11,1,3,1,100,3,22,2,26,5,41,0,82,9,6,4,120,8,12
"Northamptonshire","2017","aug","2017-08-01","East",1,0,117,39,9,1,14,1,4,0,54,6,3,1,29,4,23,2,26,2,13,1,98,11,11
"Northumbria","2017","aug","2017-08-01","North",3,0,257,77,51,12,37,9,5,5,301,21,26,6,63,4,73,9,154,36,21,4,214,34,13
"North Wales","2017","aug","2017-08-01","North",2,1,152,27,13,5,11,2,4,3,87,5,7,0,22,1,43,2,53,3,4,1,125,10,2
"North Yorkshire","2017","aug","2017-08-01","North",2,0,139,42,4,0,16,3,0,0,127,10,12,3,24,4,30,4,63,19,9,2,128,15,38
"Nottinghamshire","2017","aug","2017-08-01","East",1,0,238,57,56,9,23,6,4,2,165,7,15,1,49,6,104,11,114,24,16,3,144,13,13
"South Wales","2017","aug","2017-08-01","West",0,0,359,120,39,6,38,3,11,3,252,18,26,2,72,10,130,8,137,20,17,5,226,71,17
"South Yorkshire","2017","aug","2017-08-01","North",1,1,266,74,15,2,50,7,5,3,195,29,12,3,57,6,69,2,79,5,20,4,162,27,20
"Staffordshire","2017","aug","2017-08-01","West",1,1,210,47,14,14,35,3,8,0,136,8,24,4,41,5,65,3,55,3,11,1,156,21,19
"Suffolk","2017","aug","2017-08-01","East",0,0,127,13,7,0,11,2,2,0,40,2,6,1,28,1,45,3,30,0,3,1,72,4,3
"Surrey","2017","aug","2017-08-01","South",0,0,124,37,16,2,19,2,1,0,67,6,20,2,23,3,48,4,23,7,10,1,117,9,8
"Sussex","2017","aug","2017-08-01","South",0,0,226,65,24,11,19,1,2,0,108,13,14,2,22,7,69,6,65,10,17,2,216,18,11
"Thames Valley","2017","aug","2017-08-01","South",3,1,278,95,31,11,32,7,10,3,170,10,36,3,51,9,124,6,91,12,31,3,313,32,31
"Warwickshire","2017","aug","2017-08-01","West",0,0,58,16,8,6,9,2,2,0,55,8,7,1,14,2,22,2,20,3,1,0,69,21,6
"West Mercia","2017","aug","2017-08-01","West",0,0,198,57,12,6,15,4,1,0,150,10,18,1,45,6,64,2,70,15,25,6,222,17,10
"West Midlands","2017","aug","2017-08-01","West",2,3,663,171,76,22,53,13,35,10,467,44,49,16,92,12,202,19,231,46,50,9,311,57,76
"West Yorkshire","2017","aug","2017-08-01","North",0,0,495,103,62,20,52,6,36,2,253,24,31,4,80,10,129,13,141,21,26,5,252,24,70
"Wiltshire","2017","aug","2017-08-01","West",0,0,112,13,8,1,11,1,2,1,83,4,9,1,26,1,29,2,33,4,5,0,74,3,7
"National","2017","sep","2017-09-01","All",89,9,9663,2714,1024,352,1139,175,346,75,5895,546,816,139,1673,250,3373,223,3185,508,716,119,6867,1274,994
"Avon and Somerset","2017","sep","2017-09-01","West",2,0,260,80,48,20,34,5,5,0,147,11,23,2,32,5,78,4,73,10,18,4,178,27,36
"Bedfordshire","2017","sep","2017-09-01","East",0,0,74,24,6,2,14,2,2,0,59,6,10,0,9,3,18,1,15,2,6,0,90,26,16
"Cambridgeshire","2017","sep","2017-09-01","East",1,1,89,24,13,1,12,2,4,0,71,2,15,0,22,1,31,2,32,4,9,4,98,18,23
"Cheshire","2017","sep","2017-09-01","North",0,0,262,62,18,10,19,1,2,1,109,7,10,0,32,5,70,1,128,11,9,0,178,27,15
"Cleveland","2017","sep","2017-09-01","North",0,0,104,33,12,1,18,4,6,1,175,15,10,2,24,9,65,5,36,8,10,1,69,9,7
"Cumbria","2017","sep","2017-09-01","North",0,0,85,17,2,1,6,0,1,0,63,4,4,0,22,1,29,0,30,1,4,0,75,8,0
"Derbyshire","2017","sep","2017-09-01","East",1,0,170,29,13,1,21,5,5,0,120,13,10,1,40,5,54,3,44,6,14,3,99,12,12
"Devon and Cornwall","2017","sep","2017-09-01","West",4,0,187,43,10,1,18,3,4,0,99,9,7,4,34,2,50,2,67,7,10,0,153,10,9
"Dorset","2017","sep","2017-09-01","West",1,0,128,28,10,1,13,1,3,3,80,3,8,3,25,1,31,0,63,8,12,0,115,14,19
"Durham","2017","sep","2017-09-01","North",0,0,104,24,2,0,17,3,2,2,89,11,4,3,25,7,16,1,26,6,6,1,70,8,10
"Dyfed Powys","2017","sep","2017-09-01","West",0,0,58,14,0,2,6,0,1,0,48,2,2,1,22,1,38,1,22,2,4,0,74,9,2
"Essex","2017","sep","2017-09-01","East",4,0,237,63,49,9,28,3,6,4,112,9,22,4,41,5,62,1,47,3,6,1,189,59,21
"Gloucestershire","2017","sep","2017-09-01","West",1,0,73,13,1,2,13,1,2,0,46,3,3,1,18,1,31,0,18,4,2,2,58,3,11
"GreaterManchester","2017","sep","2017-09-01","North",12,1,490,109,64,34,55,0,37,1,151,8,20,5,82,12,81,11,141,28,32,3,286,36,42
"Gwent","2017","sep","2017-09-01","West",0,0,78,20,8,3,8,4,0,6,83,7,10,0,18,5,47,0,30,6,4,1,65,16,10
"Hampshire","2017","sep","2017-09-01","South",1,0,296,73,35,8,34,4,7,1,159,7,17,0,40,5,56,0,68,8,19,0,184,22,24
"Hertfordshire","2017","sep","2017-09-01","East",1,0,163,45,8,0,25,1,3,0,138,6,20,5,26,3,55,1,39,6,8,3,128,26,10
"Humberside","2017","sep","2017-09-01","North",0,0,175,27,11,2,14,2,7,2,129,12,13,2,36,5,40,7,63,4,13,1,67,14,20
"Kent","2017","sep","2017-09-01","South",4,0,310,77,24,4,23,4,12,5,139,13,38,5,63,9,80,3,56,10,28,3,162,20,40
"Lancashire","2017","sep","2017-09-01","North",0,0,254,80,22,1,36,2,8,1,244,18,19,7,55,5,60,2,106,11,17,1,231,42,12
"Leicestershire","2017","sep","2017-09-01","East",1,0,178,27,28,12,26,5,5,1,72,6,11,1,21,4,43,4,49,6,11,1,124,35,15
"Lincolnshire","2017","sep","2017-09-01","East",1,0,125,28,3,0,17,5,0,2,87,11,8,3,24,0,33,2,37,10,11,6,124,36,8
"Merseyside","2017","sep","2017-09-01","North",0,0,305,68,32,10,14,0,4,0,179,10,16,5,33,6,176,9,107,6,14,7,225,32,19
"Metropolitan and City","2017","sep","2017-09-01","South",12,1,1363,638,142,60,158,55,87,22,687,143,175,31,210,47,917,86,426,134,175,35,964,323,214
"Norfolk","2017","sep","2017-09-01","East",0,0,158,35,5,2,14,1,4,0,103,7,14,1,45,4,54,1,89,6,6,1,134,11,10
"Northamptonshire","2017","sep","2017-09-01","East",0,0,126,23,8,1,9,3,0,0,54,5,5,0,15,0,22,2,21,4,4,0,95,11,16
"Northumbria","2017","sep","2017-09-01","North",2,0,242,80,52,23,49,7,9,1,231,18,23,5,66,9,58,12,157,24,12,1,185,33,11
"North Wales","2017","sep","2017-09-01","North",0,1,187,38,14,3,22,1,2,0,108,8,5,0,24,2,32,2,67,5,7,0,138,13,5
"North Yorkshire","2017","sep","2017-09-01","North",1,0,112,13,10,3,22,1,0,0,88,5,10,3,22,3,30,3,50,7,15,4,124,11,14
"Nottinghamshire","2017","sep","2017-09-01","East",4,0,247,66,28,8,23,4,9,2,150,13,16,1,44,6,87,10,69,9,12,2,139,18,25
"South Wales","2017","sep","2017-09-01","West",2,0,382,131,27,12,27,8,6,0,252,21,24,4,61,7,114,5,146,39,14,2,225,77,11
"South Yorkshire","2017","sep","2017-09-01","North",3,1,209,70,14,2,40,6,25,0,157,27,24,4,48,8,74,5,88,9,13,2,167,19,57
"Staffordshire","2017","sep","2017-09-01","West",0,0,194,59,24,9,18,4,5,0,123,12,19,3,34,6,61,2,56,12,18,3,129,27,24
"Suffolk","2017","sep","2017-09-01","East",2,0,94,15,8,2,5,0,8,1,62,2,7,1,19,3,43,2,41,2,6,0,84,4,8
"Surrey","2017","sep","2017-09-01","South",3,0,129,34,21,7,13,1,1,0,57,6,13,2,21,3,18,0,20,2,10,0,95,11,7
"Sussex","2017","sep","2017-09-01","South",0,0,257,67,28,11,18,0,5,4,90,5,18,3,25,4,71,4,55,12,10,0,180,28,11
"Thames Valley","2017","sep","2017-09-01","South",4,1,333,103,46,15,58,2,7,3,233,22,36,5,73,9,98,7,81,10,32,1,318,40,30
"Warwickshire","2017","sep","2017-09-01","West",0,0,65,16,9,4,13,1,3,0,42,9,10,1,9,4,21,2,19,4,4,0,78,21,11
"West Mercia","2017","sep","2017-09-01","West",6,0,220,60,20,9,25,5,4,2,112,8,16,4,41,5,56,2,75,6,11,2,190,27,12
"West Midlands","2017","sep","2017-09-01","West",11,1,609,172,66,23,63,13,30,9,446,26,59,11,89,16,211,13,253,38,69,15,280,68,92
"West Yorkshire","2017","sep","2017-09-01","North",5,2,446,73,71,33,84,5,15,1,243,15,34,6,70,13,137,5,154,15,24,8,236,21,51
"Wiltshire","2017","sep","2017-09-01","West",0,0,85,13,12,0,7,1,0,0,58,1,8,0,13,1,25,0,21,3,7,1,64,2,4
"National","2017","oct","2017-10-01","All",105,22,9580,2581,1043,370,1161,156,302,105,6391,526,874,129,1694,255,3583,216,3081,487,747,112,7287,1204,902
"Avon and Somerset","2017","oct","2017-10-01","West",2,0,277,59,54,23,21,4,9,1,150,12,21,3,57,8,110,5,70,11,8,1,180,28,35
"Bedfordshire","2017","oct","2017-10-01","East",1,0,76,42,4,0,10,1,9,3,74,15,10,2,23,2,36,1,25,12,8,1,79,23,19
"Cambridgeshire","2017","oct","2017-10-01","East",4,1,128,33,11,1,13,2,6,5,73,2,17,1,26,4,22,2,19,6,4,1,78,14,7
"Cheshire","2017","oct","2017-10-01","North",1,0,205,46,23,12,19,3,3,0,157,5,22,5,25,4,71,2,107,4,15,2,221,29,12
"Cleveland","2017","oct","2017-10-01","North",4,0,104,42,11,1,35,7,3,5,200,7,10,2,26,3,40,4,48,12,9,0,73,7,10
"Cumbria","2017","oct","2017-10-01","North",0,0,118,12,5,0,6,2,0,0,69,0,3,0,24,3,37,0,41,2,7,2,74,10,1
"Derbyshire","2017","oct","2017-10-01","East",1,0,174,64,9,1,17,4,5,0,130,14,12,2,31,6,46,3,48,8,12,2,135,24,9
"Devon and Cornwall","2017","oct","2017-10-01","West",3,1,190,37,12,0,30,0,8,0,130,10,12,0,41,3,59,3,71,11,11,4,205,28,7
"Dorset","2017","oct","2017-10-01","West",2,0,156,19,9,2,10,2,0,1,78,4,11,2,19,5,51,3,44,2,12,0,118,13,11
"Durham","2017","oct","2017-10-01","North",2,1,109,20,7,1,13,3,2,2,123,7,11,1,25,6,12,4,20,13,8,0,79,5,8
"Dyfed Powys","2017","oct","2017-10-01","West",1,0,65,18,12,2,7,0,0,1,33,4,4,2,16,2,19,2,22,0,2,0,88,6,1
"Essex","2017","oct","2017-10-01","East",6,0,259,60,47,20,30,1,3,2,122,11,19,4,50,6,71,7,39,8,10,3,198,38,21
"Gloucestershire","2017","oct","2017-10-01","West",1,0,69,23,6,0,9,4,0,0,60,3,5,0,12,3,38,4,20,2,3,0,61,7,11
"GreaterManchester","2017","oct","2017-10-01","North",10,0,472,131,73,30,58,4,24,2,144,15,20,7,90,12,65,2,141,10,39,7,294,47,37
"Gwent","2017","oct","2017-10-01","West",0,2,87,16,6,4,16,3,5,0,75,6,6,0,20,5,21,6,30,8,4,0,116,14,1
"Hampshire","2017","oct","2017-10-01","South",0,0,307,68,25,4,31,4,8,0,229,11,26,7,39,4,64,1,80,17,17,4,228,16,30
"Hertfordshire","2017","oct","2017-10-01","East",1,0,169,30,6,1,23,4,16,2,141,12,29,0,31,2,76,4,35,6,9,0,136,19,16
"Humberside","2017","oct","2017-10-01","North",0,0,187,28,7,5,45,2,7,0,131,12,14,2,35,3,40,3,55,2,11,1,107,13,9
"Kent","2017","oct","2017-10-01","South",8,1,253,67,34,7,46,2,2,1,142,21,29,0,48,7,72,1,76,6,21,4,164,22,51
"Lancashire","2017","oct","2017-10-01","North",4,0,273,76,13,1,43,6,6,3,256,10,14,1,71,7,63,1,103,13,21,0,287,45,9
"Leicestershire","2017","oct","2017-10-01","East",4,0,144,41,33,11,22,2,4,1,75,11,12,1,23,3,38,2,42,9,11,2,119,31,4
"Lincolnshire","2017","oct","2017-10-01","East",0,0,140,18,6,0,16,2,2,1,121,13,11,1,23,5,45,0,29,7,9,1,135,26,11
"Merseyside","2017","oct","2017-10-01","North",2,0,240,60,20,5,17,2,2,2,158,4,16,1,43,6,173,11,85,10,33,2,240,57,17
"Metropolitan and City","2017","oct","2017-10-01","South",13,8,1373,578,136,91,160,42,59,33,741,138,226,37,196,40,960,79,460,122,199,39,1075,349,229
"Norfolk","2017","oct","2017-10-01","East",0,0,161,23,14,1,12,0,0,1,104,4,11,0,40,2,69,1,66,7,12,1,118,9,9
"Northamptonshire","2017","oct","2017-10-01","East",0,1,126,18,11,0,17,1,2,1,57,5,15,0,20,1,38,3,17,2,11,0,97,11,15
"Northumbria","2017","oct","2017-10-01","North",2,0,297,114,51,16,39,6,4,0,209,16,41,11,67,12,69,6,164,35,17,5,186,37,18
"North Wales","2017","oct","2017-10-01","North",1,0,165,31,17,3,12,5,1,1,77,2,5,0,24,3,50,0,57,5,6,0,119,8,11
"North Yorkshire","2017","oct","2017-10-01","North",1,2,131,22,12,1,19,0,3,0,101,5,3,1,25,1,32,2,47,5,7,5,94,13,6
"Nottinghamshire","2017","oct","2017-10-01","East",3,1,221,54,47,13,20,3,13,4,172,17,13,1,39,6,116,9,83,14,28,5,169,11,22
"South Wales","2017","oct","2017-10-01","West",2,0,317,121,35,10,36,6,7,4,252,10,11,1,52,7,133,5,122,22,14,1,193,22,14
"South Yorkshire","2017","oct","2017-10-01","North",4,1,268,78,11,4,42,3,8,1,189,12,8,0,55,12,77,4,95,11,20,2,168,23,23
"Staffordshire","2017","oct","2017-10-01","West",3,0,177,37,22,6,20,0,3,3,136,7,7,1,38,10,62,2,71,8,18,3,120,24,19
"Suffolk","2017","oct","2017-10-01","East",0,0,96,24,11,1,6,0,1,0,47,3,7,2,22,1,47,2,34,1,5,0,95,10,4
"Surrey","2017","oct","2017-10-01","South",0,0,131,48,12,5,13,1,1,0,68,4,12,2,19,3,37,1,23,3,9,2,118,9,26
"Sussex","2017","oct","2017-10-01","South",1,0,210,63,27,16,25,4,4,1,122,12,21,3,35,4,72,3,45,1,3,0,204,27,19
"Thames Valley","2017","oct","2017-10-01","South",4,2,320,63,46,11,47,7,11,7,232,17,27,3,49,11,114,5,103,12,25,3,287,47,20
"Warwickshire","2017","oct","2017-10-01","West",1,0,64,12,2,2,7,1,5,0,56,5,10,0,11,1,13,2,17,2,3,2,54,12,16
"West Mercia","2017","oct","2017-10-01","West",0,0,217,59,17,10,11,1,3,1,132,8,14,3,25,2,45,1,68,7,13,0,193,18,15
"West Midlands","2017","oct","2017-10-01","West",6,1,593,144,56,26,73,4,31,9,501,33,60,11,85,20,238,17,213,38,51,5,298,36,66
"West Yorkshire","2017","oct","2017-10-01","North",5,0,402,71,76,21,51,8,21,7,255,10,40,7,80,8,115,3,122,11,19,1,204,10,27
"Wiltshire","2017","oct","2017-10-01","West",2,0,109,11,7,2,14,0,1,0,69,9,9,2,14,2,27,0,24,2,3,1,80,6,6
"National","2017","nov","2017-11-01","All",112,32,10282,2799,967,333,1192,159,359,75,6467,514,901,138,1765,306,3645,251,3208,516,749,111,7252,1251,873
"Avon and Somerset","2017","nov","2017-11-01","West",4,1,291,75,36,11,30,2,9,2,140,8,25,7,58,15,94,6,84,13,26,2,201,15,34
"Bedfordshire","2017","nov","2017-11-01","East",1,0,90,29,6,0,11,1,2,0,53,10,10,2,16,5,25,3,23,9,7,1,87,32,17
"Cambridgeshire","2017","nov","2017-11-01","East",0,0,124,26,11,1,24,0,14,2,79,6,7,0,16,4,25,0,24,4,2,0,88,5,5
"Cheshire","2017","nov","2017-11-01","North",0,0,292,67,18,7,11,2,6,2,186,11,19,4,37,3,99,3,105,9,23,3,266,42,8
"Cleveland","2017","nov","2017-11-01","North",0,0,134,30,8,0,35,4,6,0,228,7,12,2,30,9,55,3,56,8,16,1,90,10,7
"Cumbria","2017","nov","2017-11-01","North",1,0,107,16,3,1,6,3,0,0,75,2,6,1,19,3,26,1,37,1,2,1,77,7,2
"Derbyshire","2017","nov","2017-11-01","East",1,0,184,45,7,0,14,3,8,1,124,14,18,1,46,7,55,1,48,4,22,0,120,23,15
"Devon and Cornwall","2017","nov","2017-11-01","West",4,1,217,31,9,2,28,2,5,1,98,5,11,1,37,4,56,0,66,5,5,1,189,22,12
"Dorset","2017","nov","2017-11-01","West",0,1,139,19,11,6,13,1,2,1,84,5,14,1,23,2,36,1,50,5,11,2,132,16,13
"Durham","2017","nov","2017-11-01","North",1,0,114,21,3,1,19,6,3,0,94,5,8,0,10,6,14,0,35,6,6,1,97,6,5
"Dyfed Powys","2017","nov","2017-11-01","West",0,0,86,19,8,3,5,1,0,0,42,2,1,0,17,3,27,1,20,5,3,1,63,10,9
"Essex","2017","nov","2017-11-01","East",2,2,216,77,26,20,35,4,8,0,115,7,15,6,48,6,71,2,56,5,10,3,207,58,22
"Gloucestershire","2017","nov","2017-11-01","West",1,0,71,19,5,0,11,1,2,1,57,4,8,1,18,4,34,2,14,1,3,1,55,3,8
"GreaterManchester","2017","nov","2017-11-01","North",7,1,476,131,75,27,61,2,12,1,171,13,22,3,75,8,97,7,144,12,22,5,275,63,31
"Gwent","2017","nov","2017-11-01","West",1,0,103,27,6,3,18,3,1,0,74,10,5,1,14,8,48,2,18,5,10,1,73,14,1
"Hampshire","2017","nov","2017-11-01","South",4,0,302,62,41,3,25,2,5,0,228,13,18,2,42,2,74,6,66,11,12,3,200,20,17
"Hertfordshire","2017","nov","2017-11-01","East",0,1,142,47,9,1,13,5,8,5,152,5,24,2,18,3,62,6,41,8,8,2,135,26,18
"Humberside","2017","nov","2017-11-01","North",1,0,188,36,8,4,29,0,6,1,146,7,10,2,48,9,37,2,68,5,7,1,90,16,14
"Kent","2017","nov","2017-11-01","South",10,7,359,68,35,6,20,2,9,0,142,12,40,5,53,14,101,5,56,22,32,4,173,14,32
"Lancashire","2017","nov","2017-11-01","North",3,0,285,79,13,2,44,8,13,4,250,11,24,0,74,11,59,7,102,17,16,0,265,57,18
"Leicestershire","2017","nov","2017-11-01","East",2,0,178,44,24,12,27,1,8,0,107,6,19,0,36,9,61,5,55,7,9,1,111,26,22
"Lincolnshire","2017","nov","2017-11-01","East",1,0,146,24,6,1,16,1,1,3,122,10,7,2,17,2,44,3,46,5,11,4,155,49,7
"Merseyside","2017","nov","2017-11-01","North",2,1,322,88,20,4,27,4,1,1,171,12,21,2,66,9,182,13,114,15,27,6,304,51,21
"Metropolitan and City","2017","nov","2017-11-01","South",25,11,1530,641,159,74,190,39,82,23,766,138,226,36,215,49,939,83,431,141,178,25,959,312,240
"Norfolk","2017","nov","2017-11-01","East",0,0,183,27,13,1,15,2,1,0,121,4,14,1,32,6,48,2,83,9,5,2,129,8,6
"Northamptonshire","2017","nov","2017-11-01","East",1,0,135,30,5,0,9,2,4,2,58,7,6,3,29,2,22,1,30,0,7,1,103,12,18
"Northumbria","2017","nov","2017-11-01","North",1,2,260,104,36,25,44,13,11,0,244,22,18,4,53,10,73,8,158,30,18,6,173,34,15
"North Wales","2017","nov","2017-11-01","North",6,0,148,25,9,5,13,0,2,0,90,2,8,3,26,3,46,0,49,4,3,0,109,14,10
"North Yorkshire","2017","nov","2017-11-01","North",0,1,100,29,6,2,15,2,1,1,92,8,9,0,20,10,25,3,37,5,10,0,78,13,8
"Nottinghamshire","2017","nov","2017-11-01","East",6,0,274,59,40,14,27,4,6,2,160,10,14,3,36,5,102,11,101,10,21,4,159,10,18
"South Wales","2017","nov","2017-11-01","West",1,0,354,100,25,5,28,5,2,3,235,18,21,2,72,6,133,7,129,10,24,5,243,23,11
"South Yorkshire","2017","nov","2017-11-01","North",0,0,233,58,13,1,47,5,10,1,195,13,20,3,52,12,79,2,93,7,16,0,157,13,29
"Staffordshire","2017","nov","2017-11-01","West",4,0,201,63,22,2,16,3,2,2,138,11,7,1,43,7,66,3,42,5,25,0,144,22,15
"Suffolk","2017","nov","2017-11-01","East",0,0,139,18,12,1,13,0,2,0,51,1,2,0,17,1,45,4,35,3,10,2,100,10,4
"Surrey","2017","nov","2017-11-01","South",0,0,129,31,15,4,9,1,4,0,65,2,21,7,18,1,36,2,25,2,8,0,132,20,15
"Sussex","2017","nov","2017-11-01","South",0,0,223,65,20,10,31,2,5,2,98,10,22,6,34,7,57,8,48,8,15,1,176,20,28
"Thames Valley","2017","nov","2017-11-01","South",0,0,339,82,45,16,52,6,11,5,202,19,36,9,57,7,137,8,106,22,16,2,283,44,12
"Warwickshire","2017","nov","2017-11-01","West",1,0,59,23,9,4,10,1,5,0,46,0,7,0,10,0,10,0,20,3,4,0,65,11,9
"West Mercia","2017","nov","2017-11-01","West",1,1,197,50,15,8,20,3,2,3,134,9,18,1,27,5,46,4,64,6,7,2,174,30,18
"West Midlands","2017","nov","2017-11-01","West",9,0,669,143,62,15,69,8,55,5,500,36,68,9,98,14,235,16,256,48,42,4,298,32,48
"West Yorkshire","2017","nov","2017-11-01","North",10,2,455,152,67,29,54,3,24,1,251,15,32,4,91,12,149,10,150,16,47,11,236,32,24
"Wiltshire","2017","nov","2017-11-01","West",1,0,88,19,6,2,8,2,1,0,83,4,8,1,17,3,15,0,23,5,3,2,81,6,7
"National","2017","dec","2017-12-01","All",80,20,8018,2070,853,289,875,107,294,79,5134,425,721,105,1356,252,2940,209,2462,373,680,105,5954,933,894
"Avon and Somerset","2017","dec","2017-12-01","West",0,0,203,39,48,12,26,5,7,1,126,7,19,0,38,3,61,3,64,13,10,3,137,8,36
"Bedfordshire","2017","dec","2017-12-01","East",0,0,77,25,7,0,18,2,2,0,43,8,4,1,13,4,22,0,17,2,1,1,69,13,14
"Cambridgeshire","2017","dec","2017-12-01","East",0,0,115,26,7,2,11,3,0,2,57,3,10,1,24,2,23,3,27,3,3,2,63,3,17
"Cheshire","2017","dec","2017-12-01","North",1,1,206,50,22,7,18,3,8,0,126,10,7,1,41,3,61,5,77,13,11,0,190,34,18
"Cleveland","2017","dec","2017-12-01","North",0,0,94,32,5,1,31,4,6,0,181,11,11,1,33,0,59,2,41,5,4,0,50,12,5
"Cumbria","2017","dec","2017-12-01","North",1,0,101,15,4,0,1,0,1,1,60,3,5,2,11,3,22,0,35,3,5,0,77,7,1
"Derbyshire","2017","dec","2017-12-01","East",1,0,129,28,8,1,13,0,3,0,120,14,11,0,21,7,42,2,44,10,16,15,82,17,8
"Devon and Cornwall","2017","dec","2017-12-01","West",1,0,152,29,11,0,11,0,3,2,78,4,5,1,32,2,38,5,33,9,5,0,151,22,10
"Dorset","2017","dec","2017-12-01","West",0,0,97,11,5,3,12,1,5,0,72,3,10,0,15,4,35,1,22,9,8,2,117,8,22
"Durham","2017","dec","2017-12-01","North",3,0,81,21,2,0,18,3,1,0,80,10,4,0,19,3,8,0,26,1,3,0,58,3,4
"Dyfed Powys","2017","dec","2017-12-01","West",0,0,42,10,9,1,4,1,0,0,24,5,1,0,14,0,31,0,16,3,3,1,46,4,5
"Essex","2017","dec","2017-12-01","East",1,0,189,50,29,10,30,1,5,0,109,4,24,5,26,7,91,6,50,7,9,2,203,43,23
"Gloucestershire","2017","dec","2017-12-01","West",1,0,57,6,3,0,10,0,1,0,37,1,3,2,11,0,17,0,13,0,4,1,38,5,5
"GreaterManchester","2017","dec","2017-12-01","North",9,1,378,72,51,17,45,0,18,4,119,7,9,4,66,3,88,4,120,15,26,3,202,18,26
"Gwent","2017","dec","2017-12-01","West",2,0,60,15,6,2,3,1,3,2,42,1,4,1,13,6,23,2,12,0,4,2,55,7,5
"Hampshire","2017","dec","2017-12-01","South",2,0,225,46,20,7,27,4,7,1,171,12,35,1,42,8,71,7,71,4,16,0,178,23,20
"Hertfordshire","2017","dec","2017-12-01","East",6,1,130,29,6,1,8,0,5,0,99,13,17,1,22,8,49,6,32,5,8,2,96,26,16
"Humberside","2017","dec","2017-12-01","North",1,1,165,33,9,3,23,3,4,4,123,6,25,2,26,10,32,1,41,2,10,3,80,10,17
"Kent","2017","dec","2017-12-01","South",0,0,230,75,16,5,14,5,2,1,149,14,29,4,39,5,72,10,50,10,21,1,157,16,42
"Lancashire","2017","dec","2017-12-01","North",0,1,245,66,11,1,26,2,5,1,183,11,23,5,52,7,42,2,119,16,18,0,202,42,25
"Leicestershire","2017","dec","2017-12-01","East",2,2,178,42,19,9,19,2,3,0,88,5,13,3,22,4,27,2,37,5,9,2,84,17,17
